filename,title,genre
Turkey Time.mp3,Turkey Time,Pop
binary twilight.mp3,Binary Twilight Original,Pop
C-side.mp3,C-Side,Pop
Touch of your eyes.mp3,Touch of your eyes,Pop
I Loved You.mp3,I Loved You,Pop
The cent girl.mp3,The cent girl,Pop
City lights wanderer.mp3,City lights wanderer,Pop
Funk is my essence.mp3,Funk is my essence,Pop
Bask in the rhythm.mp3,Bask in the rhythm,Pop
Ode to friendship.mp3,Ode to friendship,Pop
Megabyzos.mp3,Megabyzos,Hip Hop
The Boneyard Bounce.mp3,The Boneyard Bounce,Hip Hop
Set me free.mp3,Set me free,Hip Hop
yeah turn it up let it ride.mp3,yeah turn it up let it ride,Hip Hop
Avignon bridge.mp3,Avignon bridge,Hip Hop
Giftin you a poster.mp3,Giftin you a poster,Hip Hop
Concrete cathedral.mp3,Concrete cathedral,Hip Hop
Voices in the concrete jungle.mp3,Voices in the concrete jungle,Hip Hop
Heart of the matter.mp3,Heart of the matter,Hip Hop
Elevated life absent grief.mp3,Elevated life absent grief,Hip Hop
Fire in My Veins.mp3,Fire in My Veins,Rock
Wild hearts and open roads.mp3,Wild hearts and open roads,Rock
Whispers in the echo.mp3,Whispers in the echo,Rock
Murmurs in the reverberation.mp3,Murmurs in the reverberation,Rock
Fire and rain.mp3,Fire and rain,Rock
Fight the silence.mp3,Fight the silence,Rock
final girl.mp3,final girl,Rock
I still choose you.mp3,i still choose you,Rock
Falling Stars.mp3,Falling Stars,Rock
Rock wheels.mp3,Rock wheels,Rock
Galaxies banners and dixie dignity.mp3,Galaxies banners and dixie dignity,Country
Sail Away With Me.mp3,Sail Away With Me,Country
Bourbon ballads.mp3,Bourbon ballads,Country
Bourbon serenade for vanished affection.mp3,Bourbon serenade for vanished affection,Country
One more dance in this old town.mp3,One more dance in this old town,Country
Honky tonk midnight.mp3,Honky tonk midnight,Country
A Cowboy's Fear.mp3,A Cowboy's Fear,Country
Always In My Dreams.mp3,Always In My Dreams,Country
The Grapes of Wrath.mp3,The Grapes of Wrath,Country
Thank You Jesus.mp3,Thank You Jesus,Country
Stream of being.mp3,Stream of being,Jazz
Moonglow melody.mp3,Moonglow melody,Jazz
Jazz soul freedom.mp3,Jazz soul freedom,Jazz
City of broken dreams.mp3,City of broken dreams,Jazz
Blues spirit liberation.mp3,Blues spirit liberation,Jazz
Three Little Fishies.mp3,Three Little Fishies,Jazz
Morning glow blues.mp3,Morning glow blues,Jazz
Moonlight dance.mp3,Moonlight dance,Jazz
Hey Diddle Diddle.mp3,Hey Diddle Diddle,Jazz
Pancake in Buenos Aires.mp3,Pancake in Buenos Aires,Jazz
